Temperatura °C,Conductividad Eléctrica uS/cm,pH unidades de pH,Nitratos (mg N-NO3-/L)
24,182,7.4,0.43
24,177,7.4,0.361
24,176,7.5,0.747
20,88.2,6.8,0.25
20,88.9,6.9,0.207
20,68.3,7.5,0.111
22,77.5,7.3,0.207
22,81.8,7.5,0.221
24,89,7.5,0.252
24.1,88,7.6,0.161
24.6,96,7.5,0.192
25.1,120,7.48,0.291
25.9,115,7.18,0.146
26.6,165,7.8,0.211
26.7,158,8,0.717
26.7,186,7.8,0.377
25.2,164,8.2,0.364
17,97.4,6.9,2.02
18,89,6.7,0.245
19,85.4,7,0.157
20,87.5,7.1,0.167
19,101,7.1,0.148
20,108,7.3,0.26
20,119,7.2,0.258
21,119,7.2,0.332
21,154,6.94,0.235
21,138,6.9,0.205
21,164,6.87,0.104
23,101,7.3,0.099
24.7,175,7.4,0.233
25.8,169,7.3,0.45
26.4,165,7.3,0.854
25.8,173,7.4,0.722
20.4,68,6.2,0.223
20.3,67,6.2,0.273
21.4,56,7,0.429
21.9,59,7.1,0.315
20,62,6.3,0.468
20,66,7.2,0.412
20,77,7.2,0.4
21,72,7.3,0.457
21,84,7.1,0.428
21,89,7.1,0.448
20,100,7.1,0.484
23,107,7,0.773
21,107,7,0.845
22,127,7,0.747
21.9,107,6.7,0.763
22.2,117,7.1,0.866
22.3,114,7,0.81
22.2,109,7,0.975
22.6,115,7.1,0.958
6.72,80,,0.253
6.63,75,,0.317
6.7,71,,0.191
6.98,71,,0.212
7.53,72,,0.248
7.22,105,,0.289
7.01,107,,0.222
7.18,119,,0.234
7.01,144,,0.184
6.85,159,,0.189
6.58,181,,0.056
6.62,198,,0.101
6.8,207,,0.094
6.81,197,,0.036
6.92,165,,0.125
6.9,115,,0.308
6.95,116,,0.263
6.87,143,,0.585
7.04,160,,0.776
21,65.9,7.15,0.331
20.8,65.3,6.7,0.302
21.2,59,7.16,0.245
21.6,73.8,7.36,0.577
23.5,79.8,7.14,0.593
24,61,7.22,0.373
25,64,7.25,0.302
